$ts,$id,$x,$y,HWS_RetWtrTemp,HWS_SupWtrTemp,address,battery,boiler1_run,boiler2_run,boiler_selection_mode,cloud_cover,co2_ppm,connected,customer,demo,device_type,door,energy,error,event,external_temperature,floor,hardware_version,home,humidity,hvac_discharge_pressure,insolation,is_demo_device,kW,label,latitude,light,longitude,mode,occupied,power,precipitation_intensity,pump_run,rssi,site,square_metres,switched_on,target_temp_ideal,target_temp_max,target_temp_min,temperature,water_temp,wind_speed,window,zone
1642692430.918763,0b-9a-9c-12-50-3a, , ,67.0,78.0,"500-530 Laurier Ave W, Ottawa, ON K1R 5E1 Canada", , , , , , , ,EllisDon,energy in buildings,hot_water, , , , , , , , , , , ,True, ,Device 88,45.415543, ,-75.705613, , , , , , ,QE Towers,1500, , , , , ,67.0, , , 
1642692430.918763,0b-c7-1b-1f-2d-5e, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 141, , , ,True, ,Device 573,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,0c-9f-2a-ec-25-d7,1500,1250, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.4, , , , ,True, ,Smoke Detector 43,37.386051, ,-122.083855, , , , , ,-52, , , , , , , , , , , 
1642692430.918763,0c-cb-92-ef-ca-27, , ,67.0,78.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 151, , , ,True, ,Device 594,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,65.0, , , 
1642692430.918763,0d-13-96-7f-29-13,2000,1500, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.6, , , , ,True, ,Smoke Detector 14,37.386051, ,-122.083855, , , , , ,-88, , , , , , , , , , , 
1642692430.918763,0d-26-92-cd-4f-52, , ,66.0,80.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 115, , , ,True, ,Device 522,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,66.0, , , 
1642692430.918763,0d-f5-0b-18-b2-05, , ,65.0,77.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 27, , , ,True, ,Device 346,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,0d-fb-30-87-76-8a, , ,60.0,75.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 123, , , ,True, ,Device 538,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,0f-44-91-28-08-9e, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 27, , , ,True, ,Device 209,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,0f-7f-5c-8a-a8-81, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 77, , , ,True, ,Device 445,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,0f-e4-4b-3e-72-75, , ,66.0,75.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 10, , , ,True, ,Device 176,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,67.0, , , 
1642692430.918763,0f-f4-d7-bf-1a-cb, , ,65.0,81.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 122, , , ,True, ,Device 536,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,0f-fa-4e-8e-43-bd, , ,64.0,75.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 72, , , ,True, ,Device 436,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,10-41-46-af-a0-df, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 35, , , ,True, ,Device 361,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,10-aa-8a-e9-77-11,6000,1250, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.4, , , , ,True, ,Smoke Detector 7,37.386051, ,-122.083855, , , , , ,-63, , , , , , , , , , , 
1642692430.918763,10-b2-a4-f0-a1-1b, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 99, , , ,True, ,Device 489,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,11-50-4e-b8-9a-a7, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 27, , , ,True, ,Device 345,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,11-7b-b7-42-3a-41, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 28, , , ,True, ,Device 347,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,11-b7-e2-b7-10-12, , , , ,"Leon House, Croydon, UK", , , , , , , , ,affordable_homes,fire_door,closed, , , , , , , , , , ,True, ,Fire Door 140,51.369297, ,-0.099033, , , , , , ,Leon House, , , , , , , , , , 
1642692430.918763,12-6b-f5-39-08-84, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 15, , , ,True, ,Device 321,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,12-7c-c3-da-06-cd, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 106, , , ,True, ,Device 503,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,13-d2-32-57-74-18, , ,67.0,76.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 13, , , ,True, ,Device 318,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,14-59-a5-55-5a-63, , ,65.0,83.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 25, , , ,True, ,Device 206,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,69.0, , , 
1642692430.918763,14-5c-65-a8-65-63, , ,65.0,78.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 24, , , ,True, ,Device 340,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,69.0, , , 
1642692430.918763,14-c2-a9-4b-a2-6a, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 10, , , ,True, ,Device 264,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,14-d5-93-bb-6b-91, , ,65.0,79.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 14, , , ,True, ,Device 184,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,69.0, , , 
1642692430.918763,16-51-b2-83-20-a3, , ,67.0,80.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 17, , , ,True, ,Device 190,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,67.0, , , 
1642692430.918763,16-8e-94-8d-d6-0b, , ,65.0,75.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 6, , , ,True, ,Device 304,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,17-1d-e3-73-dc-08, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 23, , , ,True, ,Device 290,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,18-43-02-35-a3-9b, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 21, , , ,True, ,Device 286,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,19-c6-4c-04-11-15, , ,64.0,76.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 23, , , ,True, ,Device 202,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,72.0, , , 
1642692430.918763,19-f2-8a-0e-3f-08, , ,68.0,82.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 7, , , ,True, ,Device 306,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,19-f5-c4-6c-70-1c, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 30, , , ,True, ,Device 351,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,19-f6-23-e2-06-ef, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 53, , , ,True, ,Device 397,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,1a-5e-3c-54-f3-27, , ,62.0,76.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 124, , , ,True, ,Device 540,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,1a-7c-b3-35-af-fd, , ,64.0,76.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 139, , , ,True, ,Device 570,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,68.0, , , 
1642692430.918763,1a-a8-cd-68-ac-32, , ,67.0,76.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 156, , , ,True, ,Device 604,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,1a-ec-88-fa-df-14, , ,67.0,77.0,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 22, , , ,True, ,Device 289,51.888033, ,-0.513375, , , , , , ,Dunstable, , , , , , ,71.0, , , 
1642692430.918763,1b-72-9f-fc-39-7f, , ,67.0,79.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 85, , , ,True, ,Device 462,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,1b-c8-78-7c-18-8b, , , , ,"429 Somerset St W, Ottawa, ON K2P 2P5, Canada", , , , , , , ,EllisDon,energy in buildings,occupancy, , , , , ,First Floor, , , , , ,True, ,Device 115,45.414789, ,-75.698491, ,False, , , , ,The Strand,3500, , , , , , , , ,Retail
1642692430.918763,1c-55-b5-8f-43-9d, , ,66.0,79.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 99, , , ,True, ,Device 490,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,64.0, , , 
1642692430.918763,1d-18-25-fb-21-1f, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 4, , , ,True, ,Device 252,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,1e-8c-45-26-3b-b5, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 125, , , ,True, ,Device 541,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,1f-47-4a-fc-cc-2b, , ,64.0,74.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 104, , , ,True, ,Device 500,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,66.0, , , 
1642692430.918763,1f-6b-1a-47-93-c3, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 86, , , ,True, ,Device 463,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,1f-c2-7c-5f-b4-35, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 103, , , ,True, ,Device 497,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,20-58-5b-29-00-fc, , ,63.0,74.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 32, , , ,True, ,Device 356,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,20-69-67-fb-ca-f9, , ,63.0,79.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 55, , , ,True, ,Device 402,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,21-25-35-cc-42-49, , ,68.0,79.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 150, , , ,True, ,Device 592,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,70.0, , , 
1642692430.918763,21-3c-60-4d-ec-5f, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 41, , , ,True, ,Device 237,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,23-59-85-8f-f9-05, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 31, , , ,True, ,Device 353,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,23-7e-ce-73-54-58, , ,65.0,76.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 22, , , ,True, ,Device 336,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,23-e0-88-9f-9e-11,1237,116, , ,"Upper Canada College, Forest Hill, Toronto, ON M4V 1W6, Canada", , , , , , , ,EllisDon,energy in buildings,occupancy, , , , , ,Ground Floor, , , , , ,True, ,Device 81,43.693309, ,-79.403761, ,False, , , , ,Forest Hill,2000, , , , , , , , ,Storage
1642692430.918763,23-e3-6b-db-be-cd, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 114, , , ,True, ,Device 519,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,23-e3-e7-e5-96-54,100,100, , , , , , , , , , , ,BMS,bulb, , , , , , , , , , , ,True, ,Device 64,37.386051, ,-122.083855, , , , , , , , ,False, , , , , , , , 
1642692430.918763,24-b5-79-a8-60-2a,6500,1750, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.6, , , , ,True, ,Smoke Detector 13,37.386051, ,-122.083855, , , , , ,-93, , , , , , , , , , , 
1642692430.918763,24-ca-d7-86-5f-3a, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 138, , , ,True, ,Device 567,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,25-60-6d-2d-87-23, , , , ,"Leon House, Croydon, UK", , , , , , , , ,affordable_homes,fire_door,closed, , , , , , , , , , ,True, ,Fire Door 147,51.369297, ,-0.099033, , , , , , ,Leon House, , , , , , , , , , 
